,quarter,year,NROUST,NROU,SPF_Inflation,pceEnergy,V_hwi,Unemployment,V_U,POILBREUSDM,Michigan_Inflation,Swap_1year,Swap_5year,Swap_10year,import_def,GDP_def,UNRATE,USRECM,CPIAUCSL,CPILFESL,PCEPI,PCEPILFE
0,1,1968,5.792286,5.792286,2.082700038,11.75833333,3466.589966,2918.6667,1.187730674,,,,,,20.351,17.981,3.700000047683716,0,34.20000076293945,35.66699981689453,17.78899955749512,18.39500045776367
1,2,1968,5.803658485,5.803658485,2.082700038,11.756,3566.724155,2795.6667,1.2758045,,,,,,20.504,18.171,3.599999904632568,0,34.53300094604492,36.03300094604492,17.97100067138672,18.60899925231934
2,3,1968,5.815175533,5.815175533,2.915399933,11.83866667,3733.225039,2779.0,1.343369931,,,,,,20.545,18.349,3.5,0,35.0,36.53300094604492,18.1569995880127,18.8169994354248
3,4,1968,5.826905,5.826905,2.915399933,11.86533333,3977.4649,2696.3333,1.475138441,,,,,,20.689,18.608,3.400000095367432,0,35.43299865722656,37.06700134277344,18.35799980163574,19.0359992980957
4,1,1969,5.838901,5.838901,2.915399933,11.96666667,4110.078363,2707.3333,1.518127954,,,,,,20.773,18.8,3.400000095367432,0,35.86700057983398,37.56700134277344,18.5359992980957,19.24399948120117
5,2,1969,5.851209641,5.851209641,3.019800091,12.147,4125.355991,2762.3333,1.493431655,,,,,,20.862,19.039,3.400000095367432,0,36.43299865722656,38.16699981689453,18.77199935913086,19.47400093078613
6,3,1969,5.863864,5.863864,3.07869997,12.166,4032.092081,2921.3333,1.380223229,,,,,,21.013,19.307,3.599999904632568,0,36.93299865722656,38.70000076293945,19.00200080871582,19.69899940490723
7,4,1969,5.876888,5.876888,3.07869997,12.19833333,3988.028223,2929.6667,1.361256631,,,,,,21.556,19.556,3.599999904632568,0,37.5,39.23300170898438,19.22200012207031,19.93000030517578
8,1,1970,5.890298367,5.890298367,3.07869997,12.203,3606.878602,3429.6667,1.051670298,,,,,,21.786,19.832,4.199999809265137,1,38.09999847412109,39.83300018310547,19.44400024414063,20.14699935913086
9,2,1970,5.9041,5.9041,3.07869997,12.38433333,3205.656564,3929.0,0.8158963,,,,,,22.037,20.108,4.800000190734863,1,38.63299942016602,40.56700134277344,19.65900039672852,20.375
10,3,1970,5.918292,5.918292,3.235299969,12.39233333,2958.388108,4295.6665,0.688691291,,,,,,22.578,20.273,5.199999809265137,1,39.03300094604492,41.09999847412109,19.85000038146973,20.60199928283691
11,4,1970,5.932861,5.932861,3.497599983,12.653,2722.020931,4855.0,0.560663426,,,,,,22.808,20.541,5.800000190734863,1,39.59999847412109,41.76699829101563,20.10799980163574,20.89100074768066
12,1,1971,5.947782,5.947782,3.497599983,12.74233333,2665.904687,4958.6665,0.537625325,,,,,,23.384,20.853,5.900000095367432,0,39.93299865722656,42.16699981689453,20.29899978637695,21.1560001373291
13,2,1971,5.963016,5.963016,3.497599983,12.67733333,2746.317542,4968.0,0.552801438,,,,,,23.466,21.127,5.900000095367432,0,40.29999923706055,42.59999847412109,20.53000068664551,21.39699935913086
14,3,1971,5.978505611,5.978505611,3.497599983,12.913,2799.046775,5070.3335,0.552043919,,,,,,23.751,21.342,6.0,0,40.70000076293945,42.96699905395508,20.73100090026855,21.59900093078613
